"ID","step","hours","exposure","material","retain","lstar","astar","bstar","YI","Haze","ftir.1250","ftir.1700","ftir.2900","ftir.3350","dose","doseType"
"sa22087.06",1,2208,"1x","PET",1,94.71,-0.21,1.25,2.22,6.6,0.227019,0.1794,0.0271421,0.0251469,8012.3904,"fullSpectrum"
"sa22079.03",1,2208,"1x","9013-TPU",3,96.26,-0.04,0.68,1.24,5.9,NA,NA,NA,NA,8012.3904,"fullSpectrum"
"sa22079.04",1,2208,"1x","9013-TPU",4,96.08,-0.03,0.7,1.3,5.6,NA,NA,NA,NA,8012.3904,"fullSpectrum"
"sa22076.04",1,2208,"1x","9013-PET",4,95.37,-0.05,1.03,1.91,6,NA,NA,NA,NA,8012.3904,"fullSpectrum"
"sa22085.02",2,4224,"1x","9025-TPU",2,95.87,-0.01,0.85,1.6,8.8,NA,NA,NA,NA,15328.0512,"fullSpectrum"
"sa22087.07",2,4224,"1x","PET",2,94.87,-0.19,1.18,2.11,5.2,NA,NA,NA,NA,15328.0512,"fullSpectrum"
"sa22089.07",2,4224,"1x","TPU",2,94.98,0.02,1.16,2.23,16.6,NA,NA,NA,NA,15328.0512,"fullSpectrum"
"sa22073.03",2,4224,"1x","9006-TPU",3,94.85,0.03,1.23,2.37,19,NA,NA,NA,NA,15328.0512,"fullSpectrum"
"sa22085.03",2,4224,"1x","9025-TPU",3,95.93,-0.01,0.86,1.61,7.2,NA,NA,NA,NA,15328.0512,"fullSpectrum"
"sa22079.02",2,4224,"1x","9013-TPU",2,96.26,-0.04,0.71,1.3,4.7,NA,NA,NA,NA,15328.0512,"fullSpectrum"
"sa22073.04",2,4224,"1x","9006-TPU",4,96.19,-0.01,0.76,1.42,6,NA,NA,NA,NA,15328.0512,"fullSpectrum"
"sa22081.02",2,4224,"1x","9025-PET",2,95.29,-0.16,1.23,2.21,5,NA,NA,NA,NA,15328.0512,"fullSpectrum"
"sa22070.03",2,4224,"1x","9006-PET",3,95.29,-0.19,1.21,2.15,6,NA,NA,NA,NA,15328.0512,"fullSpectrum"
"sa22081.04",2,4224,"1x","9025-PET",4,95.41,-0.18,1.18,2.1,5.7,NA,NA,NA,NA,15328.0512,"fullSpectrum"
"sa22070.04",2,4224,"1x","9006-PET",4,95.37,-0.19,1.18,2.09,5.9,NA,NA,NA,NA,15328.0512,"fullSpectrum"
"sa22070.02",2,4224,"1x","9006-PET",2,95.4,-0.2,1.2,2.12,5.6,NA,NA,NA,NA,15328.0512,"fullSpectrum"
"sa22079.03",2,4224,"1x","9013-TPU",3,96.11,-0.04,0.76,1.4,5.5,NA,NA,NA,NA,15328.0512,"fullSpectrum"
"sa22089.09",2,4224,"1x","TPU",4,95.1,0.02,1.13,2.17,12.2,NA,NA,NA,NA,15328.0512,"fullSpectrum"
"sa22089.08",2,4224,"1x","TPU",3,94.95,0.03,1.22,2.34,15.6,NA,NA,NA,NA,15328.0512,"fullSpectrum"
"sa22076.04",2,4224,"1x","9013-PET",4,95.38,-0.24,1.26,2.21,8.7,NA,NA,NA,NA,15328.0512,"fullSpectrum"
"sa22079.04",2,4224,"1x","9013-TPU",4,96.16,-0.02,0.82,1.52,5,NA,NA,NA,NA,15328.0512,"fullSpectrum"
"sa22081.03",2,4224,"1x","9025-PET",3,95.42,-0.19,1.2,2.13,6.6,NA,NA,NA,NA,15328.0512,"fullSpectrum"
"sa22087.09",2,4224,"1x","PET",4,94.85,-0.2,1.23,2.2,5.9,NA,NA,NA,NA,15328.0512,"fullSpectrum"
"sa22076.02",2,4224,"1x","9013-PET",2,95.56,-0.19,1.19,2.11,3.6,NA,NA,NA,NA,15328.0512,"fullSpectrum"
"sa22085.04",2,4224,"1x","9025-TPU",4,95.96,-0.01,0.87,1.63,6.7,NA,NA,NA,NA,15328.0512,"fullSpectrum"
"sa22073.02",2,4224,"1x","9006-TPU",2,95.19,0.03,1.11,2.12,14.1,NA,NA,NA,NA,15328.0512,"fullSpectrum"
"sa22076.03",2,4224,"1x","9013-PET",3,95.38,-0.2,1.26,2.23,4,NA,NA,NA,NA,15328.0512,"fullSpectrum"
"sa22073.04",3,10296,"1x","9006-TPU",4,95.5,0,1.17,2.21,8.9,0.450697,0.503554,0.0928364,0.0716179,37362.1248,"fullSpectrum"
"sa22079.03",3,10296,"1x","9013-TPU",3,95.42,-0.02,1.12,2.11,9.3,0.437594,0.468388,0.0879498,0.0780471,37362.1248,"fullSpectrum"
"sa22087.08",3,10296,"1x","PET",3,94.96,-0.25,1.28,2.24,5.4,0.405287,0.367667,0.0567183,0.0466299,37362.1248,"fullSpectrum"
"sa22073.03",3,10296,"1x","9006-TPU",3,95.23,0,1.27,2.42,11.8,0.408473,0.424255,0.177655,0.0730366,37362.1248,"fullSpectrum"
"sa22085.04",3,10296,"1x","9025-TPU",4,95.78,-0.01,1.07,2.01,7.9,0.363386,0.393899,0.0948112,0.0614907,37362.1248,"fullSpectrum"
"sa22085.03",3,10296,"1x","9025-TPU",3,95.84,-0.02,1.04,1.95,7.5,0.363216,0.388379,0.0966239,0.0696155,37362.1248,"fullSpectrum"
"sa22079.04",3,10296,"1x","9013-TPU",4,95.73,-0.03,1.09,2.04,8.1,0.48185,0.50111,0.0946522,0.0687326,37362.1248,"fullSpectrum"
"sa22089.08",3,10296,"1x","TPU",3,94.19,0.07,1.7,3.31,20.4,0.420246,0.431736,0.1849,0.0738262,37362.1248,"fullSpectrum"
"sa22089.09",3,10296,"1x","TPU",4,94.55,0.05,1.56,3.01,15.5,0.409229,0.419481,0.179545,0.0758895,37362.1248,"fullSpectrum"
"sa22070.03",3,10296,"1x","9006-PET",3,95.17,-0.15,1.42,2.58,6.2,0.246427,0.238416,0.0511112,0.0446114,37362.1248,"fullSpectrum"
"sa22070.04",3,10296,"1x","9006-PET",4,94.97,-0.2,1.48,2.67,6.7,0.210764,0.196149,0.0423821,0.0362013,37362.1248,"fullSpectrum"
"sa22076.04",3,10296,"1x","9013-PET",4,95.03,-0.22,1.46,2.61,7.7,0.266946,0.230871,0.0422766,0.0380724,37362.1248,"fullSpectrum"
"sa22081.04",3,10296,"1x","9025-PET",4,95.17,-0.24,1.41,2.5,5.7,0.194439,0.171342,0.0453047,0.0331867,37362.1248,"fullSpectrum"
"sa22087.09",3,10296,"1x","PET",4,94.63,-0.22,1.45,2.61,8.4,0.301365,0.264792,0.0432032,0.0361679,37362.1248,"fullSpectrum"
"sa22076.03",3,10296,"1x","9013-PET",3,95.12,-0.45,1.4,2.32,5.3,0.275012,0.251002,0.0489986,0.0439539,37362.1248,"fullSpectrum"
"sa22087.12",0,0,"5x","PET",3,95.09,-0.18,1.02,1.81,1.2,NA,NA,NA,NA,0,"fullSpectrum"
"sa22070.06",0,0,"5x","9006-PET",2,95.81,-0.2,0.94,1.63,1.9,NA,NA,NA,NA,0,"fullSpectrum"
"sa22073.05",0,0,"5x","9006-TPU",1,96.74,-0.04,0.36,0.63,2.9,NA,NA,NA,NA,0,"fullSpectrum"
"sa22082.03",0,0,"5x","9025-PET",4,95.81,-0.17,0.94,1.65,1.5,NA,NA,NA,NA,0,"fullSpectrum"
"sa22070.07",0,0,"5x","9006-PET",3,95.78,-0.18,0.95,1.65,1.9,NA,NA,NA,NA,0,"fullSpectrum"
"sa22082.01",0,0,"5x","9025-PET",2,95.82,-0.19,0.94,1.64,2.2,NA,NA,NA,NA,0,"fullSpectrum"
"sa22073.08",0,0,"5x","9006-TPU",4,96.75,-0.04,0.33,0.58,3.5,NA,NA,NA,NA,0,"fullSpectrum"
"sa22073.06",0,0,"5x","9006-TPU",2,96.76,-0.05,0.36,0.63,2.5,NA,NA,NA,NA,0,"fullSpectrum"
"sa22070.05",0,0,"5x","9006-PET",1,95.8,-0.17,0.95,1.67,2.1,NA,NA,NA,NA,0,"fullSpectrum"
"sa22087.13",0,0,"5x","PET",4,95.07,-0.18,1.04,1.84,1.6,NA,NA,NA,NA,0,"fullSpectrum"
"sa22076.07",0,0,"5x","9013-PET",3,95.76,-0.19,0.93,1.6,1.9,NA,NA,NA,NA,0,"fullSpectrum"
"sa22076.06",0,0,"5x","9013-PET",2,95.81,-0.19,0.95,1.64,1.3,NA,NA,NA,NA,0,"fullSpectrum"
"sa22082.02",0,0,"5x","9025-PET",3,95.8,-0.18,0.94,1.64,1.7,NA,NA,NA,NA,0,"fullSpectrum"
"sa22085.07",0,0,"5x","9025-TPU",3,96.8,-0.02,0.34,0.62,3.4,NA,NA,NA,NA,0,"fullSpectrum"
"sa22089.13",0,0,"5x","TPU",4,96.75,-0.04,0.34,0.6,2.7,NA,NA,NA,NA,0,"fullSpectrum"
"sa22079.06",0,0,"5x","9013-TPU",2,96.81,-0.04,0.36,0.63,2,NA,NA,NA,NA,0,"fullSpectrum"
