Sample Number,Product Name,Exposure,Step Number Retained
sa22076.02,9013-PET,1x,2
sa22076.03,9013-PET,1x,3
sa22076.04,9013-PET,1x,4
sa22079.01,9013-TPU,1x,1
sa22079.02,9013-TPU,1x,2
sa22079.03,9013-TPU,1x,3
sa22079.04,9013-TPU,1x,4
sa22081.01,9025-PET,1x,1
sa22081.02,9025-PET,1x,2
sa22081.03,9025-PET,1x,3
sa22081.04,9025-PET,1x,4
sa22085.01,9025-TPU,1x,1
sa22085.02,9025-TPU,1x,2
sa22085.03,9025-TPU,1x,3
sa22085.04,9025-TPU,1x,4
sa22087.06,PET,1x,1
sa22087.07,PET,1x,2
sa22087.08,PET,1x,3
sa22087.09,PET,1x,4
sa22089.06,TPU,1x,1
sa22089.07,TPU,1x,2
sa22089.08,TPU,1x,3
sa22089.09,TPU,1x,4
