Wavenumber,sa22082.02,sa22082.03,sa22089.13,sa22089.12,sa22087.13,sa22087.12,sa22085.08,sa22085.07,sa22079.08,sa22079.07,sa22076.08,sa22076.07,sa22073.08,sa22073.07,sa22070.08,sa22070.07,sa22089.09,sa22089.08,sa22087.09,sa22087.08,sa22085.04,sa22085.03,sa22081.03,sa22081.04,sa22079.04,sa22079.03,sa22076.04,sa22076.03,sa22073.04,sa22073.03,sa22070.04,sa22070.03
2258.18,0.00637711,0.00546726,0.00487246,0.00389138,0.0159085,0.00910029,-0.00150533,-0.000610509,0.000654624,-0.00124496,0.00859724,0.00619772,-0.00216671,0.00228404,0.00437662,0.0201954,0.00260245,0.000261964,0.0143909,0.0179318,-0.00154652,0.00143945,0.00734166,0.0101659,-0.00159475,0.000758723,0.015251,0.0128888,0.00104368,0.0024681,0.00572601,0.0123417
2261.9,0.00705162,0.0067159,0.00536779,0.00419976,0.0170171,0.00877592,-0.000531516,-0.00100742,0.00142567,-0.00080935,0.00916828,0.00659345,-0.00195695,0.00297356,0.00469743,0.0209147,0.00331505,0.000508189,0.0149159,0.018818,-0.000477971,0.00154475,0.00764366,0.0107093,-0.0020291,0.00126001,0.0164625,0.0133304,0.00124952,0.0021797,0.00619574,0.0128112
2265.63,0.00755547,0.00795938,0.00493758,0.00409938,0.017452,0.00880944,-0.000317966,-0.00045718,0.00185481,-0.00120051,0.00970105,0.00690664,-0.00191344,0.00292595,0.00552318,0.0205109,0.00377087,0.000583596,0.0152933,0.0190458,-0.00076573,0.00234611,0.00812491,0.0110099,-0.00229349,0.00200677,0.0175684,0.0134759,0.00155978,0.00169125,0.00669696,0.0128573
2269.35,0.00779349,0.00799188,0.00456008,0.00464197,0.0172402,0.00988036,-9.46E-05,0.000990595,0.00258106,-0.000338862,0.0103357,0.00688292,-0.00101077,0.00325249,0.00585952,0.021055,0.00425691,0.00135329,0.0161468,0.0197391,-0.000229956,0.00381478,0.00858024,0.0118531,-0.00103135,0.00284677,0.0182484,0.0140607,0.00181513,0.00170634,0.00705922,0.0134608
2273.08,0.00773817,0.00826801,0.0048895,0.00495333,0.0177076,0.010819,0.000775751,0.000556332,0.00319764,0.00054396,0.011075,0.00752689,-9.22E-05,0.00375815,0.00517298,0.0221074,0.0041031,0.00187952,0.0161739,0.0204191,0.000465413,0.00391613,0.00884418,0.0125227,-0.000775112,0.00298013,0.0184203,0.0149662,0.00216142,0.00229129,0.00716974,0.0144307
2276.81,0.00841033,0.00927797,0.0056538,0.00580396,0.0193647,0.0114746,0.00226713,-4.87E-05,0.00410862,0.00120099,0.0118131,0.0084635,0.000376245,0.00464457,0.00561853,0.0232585,0.00452922,0.00243875,0.0170649,0.021766,0.00135789,0.0040714,0.00962755,0.0130745,-0.000202264,0.00334301,0.0190362,0.0159881,0.00333727,0.00343731,0.00792813,0.0154707
2280.53,0.00923648,0.0104459,0.0060105,0.00631424,0.0202466,0.0125206,0.00277092,0.00050148,0.00478006,0.00136541,0.0122371,0.00895999,0.000886011,0.00515218,0.00645632,0.0244107,0.00513253,0.00272176,0.0188012,0.0231816,0.00166319,0.00483571,0.0104383,0.0133709,0.00086791,0.00386367,0.0199485,0.0167996,0.00372768,0.00445271,0.00829116,0.0158883
2284.26,0.00994954,0.0112623,0.00642705,0.00686084,0.0206542,0.0138355,0.00333045,0.00168643,0.00602378,0.00216039,0.0130365,0.00937547,0.00169298,0.00566132,0.00738424,0.0254049,0.00599523,0.00344449,0.0199718,0.0240177,0.00241208,0.00622864,0.0111258,0.0141917,0.00206666,0.00522962,0.020597,0.0180327,0.00435205,0.00516365,0.00902272,0.0163268
2287.99,0.0100257,0.0111042,0.00677613,0.00729946,0.0209727,0.0138349,0.00373626,0.0020265,0.00656403,0.00285211,0.013228,0.00943118,0.00193765,0.00561402,0.00749821,0.0256477,0.00604177,0.00367021,0.0196636,0.0237576,0.00299987,0.00651781,0.0113709,0.014399,0.00231084,0.00603437,0.0209442,0.0182472,0.0050681,0.00480266,0.00928486,0.0166196
2291.71,0.00990256,0.0110717,0.00745528,0.00751876,0.0208539,0.0135484,0.00383712,0.00180375,0.00677633,0.00355723,0.013245,0.00973597,0.00229763,0.00578279,0.00717232,0.0255628,0.00639506,0.00363074,0.0189245,0.0234353,0.00295874,0.00641164,0.0113255,0.0141469,0.00245607,0.00637364,0.0209764,0.0177682,0.00566818,0.00475507,0.00938684,0.0167538
2295.44,0.00971933,0.0109004,0.00764805,0.00725457,0.0205468,0.0131941,0.00380973,0.00172095,0.00674964,0.00419323,0.0130262,0.00967041,0.00225505,0.00585271,0.00715663,0.0246158,0.0065211,0.00362597,0.0186743,0.0230092,0.00290205,0.00638788,0.0110004,0.0140225,0.00222064,0.00624407,0.0203375,0.0169043,0.00573205,0.00485645,0.00898653,0.0165862
2299.17,0.0100518,0.0107056,0.00774393,0.00756566,0.0205526,0.0130327,0.00444839,0.00213442,0.00715595,0.00463159,0.0130063,0.00937869,0.00240726,0.00617227,0.00738636,0.0240362,0.00625399,0.00383233,0.0184395,0.022722,0.00334893,0.00684021,0.0109853,0.0140641,0.00307234,0.00681358,0.0197192,0.0166714,0.00608771,0.00482356,0.00903752,0.0161952
2302.89,0.0102833,0.0104768,0.00761012,0.00800139,0.0202331,0.0132241,0.00484671,0.0024954,0.00759855,0.00420224,0.0131704,0.00924747,0.00244206,0.0064537,0.00757924,0.023969,0.00590441,0.00355013,0.0181476,0.0225452,0.00379624,0.00716155,0.0112794,0.0139832,0.00366046,0.00707345,0.0196809,0.0166846,0.00595067,0.00472628,0.00937969,0.0158253
