"ID","step","hours","exposure","retain","substrate","material","lstar","astar","bstar","YI","Haze","ftir.1250","ftir.1700","ftir.2900","ftir.3350","ftir.1250.wavenum","ftir.1700.wavenum","ftir.2900.wavenum","ftir.3350.wavenum","dose","doseType"
"sa22081.02",1,2208,"1x",2,"9025","PET",95.25,-0.16,1.25,2.25,8.6,NA,NA,NA,NA,NA,NA,NA,NA,101.54592,"fullSpectrum"
"sa22070.02",1,2208,"1x",2,"9006","PET",95.44,-0.18,1.15,2.04,5.9,NA,NA,NA,NA,NA,NA,NA,NA,101.54592,"fullSpectrum"
"sa22081.03",1,2208,"1x",3,"9025","PET",95.48,-0.19,1.15,2.02,7.6,NA,NA,NA,NA,NA,NA,NA,NA,101.54592,"fullSpectrum"
"sa22070.03",1,2208,"1x",3,"9006","PET",95.15,-0.15,1.22,2.2,7.6,NA,NA,NA,NA,NA,NA,NA,NA,101.54592,"fullSpectrum"
"sa22087.09",1,2208,"1x",4,"PURE","PET",95.03,-0.2,1.15,2.03,5.9,NA,NA,NA,NA,NA,NA,NA,NA,101.54592,"fullSpectrum"
"sa22087.06",1,2208,"1x",1,"PURE","PET",94.71,-0.21,1.25,2.22,6.6,0.227019,0.1794,0.0271421,0.0251469,1239.71,1713.22,2906.32,3329.49,101.54592,"fullSpectrum"
"sa22079.03",1,2208,"1x",3,"9013","TPU",96.26,-0.04,0.68,1.24,5.9,NA,NA,NA,NA,NA,NA,NA,NA,101.54592,"fullSpectrum"
"sa22079.04",1,2208,"1x",4,"9013","TPU",96.08,-0.03,0.7,1.3,5.6,NA,NA,NA,NA,NA,NA,NA,NA,101.54592,"fullSpectrum"
"sa22076.04",1,2208,"1x",4,"9013","PET",95.37,-0.05,1.03,1.91,6,NA,NA,NA,NA,NA,NA,NA,NA,101.54592,"fullSpectrum"
"sa22085.02",2,4224,"1x",2,"9025","TPU",95.87,-0.01,0.85,1.6,8.8,NA,NA,NA,NA,NA,NA,NA,NA,194.26176,"fullSpectrum"
"sa22087.07",2,4224,"1x",2,"PURE","PET",94.87,-0.19,1.18,2.11,5.2,NA,NA,NA,NA,NA,NA,NA,NA,194.26176,"fullSpectrum"
"sa22089.07",2,4224,"1x",2,"PURE","TPU",94.98,0.02,1.16,2.23,16.6,NA,NA,NA,NA,NA,NA,NA,NA,194.26176,"fullSpectrum"
"sa22073.03",2,4224,"1x",3,"9006","TPU",94.85,0.03,1.23,2.37,19,NA,NA,NA,NA,NA,NA,NA,NA,194.26176,"fullSpectrum"
"sa22085.03",2,4224,"1x",3,"9025","TPU",95.93,-0.01,0.86,1.61,7.2,NA,NA,NA,NA,NA,NA,NA,NA,194.26176,"fullSpectrum"
"sa22079.02",2,4224,"1x",2,"9013","TPU",96.26,-0.04,0.71,1.3,4.7,NA,NA,NA,NA,NA,NA,NA,NA,194.26176,"fullSpectrum"
"sa22073.04",2,4224,"1x",4,"9006","TPU",96.19,-0.01,0.76,1.42,6,NA,NA,NA,NA,NA,NA,NA,NA,194.26176,"fullSpectrum"
"sa22081.02",2,4224,"1x",2,"9025","PET",95.29,-0.16,1.23,2.21,5,NA,NA,NA,NA,NA,NA,NA,NA,194.26176,"fullSpectrum"
"sa22070.03",2,4224,"1x",3,"9006","PET",95.29,-0.19,1.21,2.15,6,NA,NA,NA,NA,NA,NA,NA,NA,194.26176,"fullSpectrum"
