Wavenumber,sa22088.11,sa22086.11,sa22084.01,sa22078.01,sa22080.11,sa22075.01,sa22072.01,sa22069.01,sa22086.01,sa22088.01,sa22083.01,sa22077.01,sa22080.01,sa22074.01,sa22071.01,sa22068.01,sa22089.01,sa22084.06,sa22087.01,sa22078.06,sa22080.16,sa22075.06,sa22069.06,sa22072.06,sa22088.06,sa22086.06,sa22083.06,sa22080.06,sa22077.06,sa22074.06,sa22071.06,sa22068.06
1578.99,0.0303546,0.041323,0.0311162,0.0462444,0.0156186,0.0269906,0.0329149,0.0189124,0.0551283,0.0368206,0.0428272,0.065813,0.0354931,0.0269654,0.0460079,0.0198767,0.0325517,0.0446412,0.0451679,0.0601969,0.0316335,0.0401988,0.0323019,0.0305489,0.0307992,0.0535096,0.0371369,0.0210619,0.0819125,0.0213997,0.0303278,0.015273
1580.86,0.0265295,0.0352641,0.0271063,0.041916,0.0125785,0.0229228,0.0289793,0.0158251,0.0482259,0.0328654,0.0392385,0.0634695,0.0316854,0.0242894,0.0430249,0.0179694,0.0293452,0.0419746,0.0393862,0.057841,0.0282907,0.0363876,0.0290536,0.0277598,0.0280308,0.0478901,0.034896,0.0186867,0.0808299,0.0200203,0.0280994,0.0136452
1582.72,0.0253042,0.0324795,0.0259431,0.0406208,0.0121553,0.0217823,0.0276805,0.0152118,0.0458426,0.0313049,0.0383554,0.0639082,0.0315678,0.0246979,0.0428085,0.0186964,0.0282997,0.0421294,0.0372134,0.058594,0.0282807,0.0361266,0.029147,0.0273937,0.0274848,0.0458167,0.0349723,0.0192837,0.0828079,0.0212215,0.0275462,0.0138258
1584.59,0.0252937,0.0309229,0.0261922,0.0410759,0.0129161,0.0220671,0.0277858,0.0156499,0.0457482,0.0308474,0.0387158,0.065115,0.0324593,0.0261362,0.0434122,0.0198858,0.0275838,0.0425586,0.0356599,0.059681,0.0286702,0.0363719,0.0295154,0.0272081,0.0266088,0.0440244,0.03498,0.0196892,0.0844999,0.0220339,0.0267091,0.0136959
1586.45,0.0236078,0.0286796,0.0246064,0.0400629,0.0121569,0.0208799,0.0261864,0.0147916,0.0450415,0.0292844,0.0378947,0.0656386,0.0324017,0.0264668,0.0432957,0.0196941,0.0261636,0.0422849,0.0341305,0.0602049,0.0285333,0.0365979,0.0296407,0.0262507,0.0253912,0.0430329,0.0345752,0.0199028,0.0862813,0.022678,0.0260266,0.0132461
1588.31,0.0237673,0.028873,0.0247898,0.0402384,0.0129874,0.0212858,0.0260199,0.0154241,0.0462323,0.0292747,0.0385335,0.0678179,0.0337046,0.0278332,0.044342,0.020402,0.0255427,0.0427023,0.0340874,0.0616934,0.0295032,0.0377823,0.0305354,0.025754,0.0251239,0.0434029,0.0345507,0.0203602,0.0879412,0.0233712,0.0254073,0.0132076
1590.18,0.0232123,0.0285708,0.0246156,0.0398098,0.0130223,0.0211125,0.0253546,0.0152367,0.0472251,0.0287967,0.0387874,0.0695528,0.0346047,0.0285568,0.0450326,0.0209079,0.0248838,0.0432635,0.0344281,0.0635496,0.0304619,0.0388076,0.031292,0.0254392,0.0247774,0.0441043,0.0349329,0.0209397,0.0899204,0.0241348,0.0248246,0.0136939
1592.04,0.0239628,0.0294707,0.025481,0.0410915,0.0142988,0.0222173,0.0260097,0.0161822,0.0493505,0.0295191,0.03991,0.0720458,0.0364037,0.029956,0.0464266,0.0224918,0.0255923,0.044812,0.0358965,0.066673,0.0317925,0.0406306,0.0327751,0.0261967,0.0246767,0.0454221,0.036109,0.0219884,0.0926651,0.0254108,0.0247517,0.0143051
1593.91,0.0235631,0.0295405,0.0249584,0.0415983,0.014425,0.0225168,0.0257257,0.0160654,0.0506183,0.0292188,0.0401425,0.0739045,0.0372853,0.0304707,0.0467147,0.0232164,0.0253967,0.0455366,0.0367094,0.068718,0.0323931,0.0419058,0.0337493,0.0261585,0.0242707,0.0466958,0.0368004,0.0226647,0.0954024,0.0264609,0.0246331,0.0143887
1595.77,0.0234658,0.0302322,0.0249113,0.0427567,0.0147448,0.0230547,0.0258557,0.016506,0.0523411,0.0295005,0.0409877,0.0766218,0.0385335,0.0315022,0.0476766,0.0239123,0.0251341,0.0466792,0.0376195,0.070632,0.0335278,0.0434406,0.0348123,0.0262841,0.0243218,0.0481805,0.0373742,0.0230807,0.0983581,0.0269691,0.0246766,0.0147335
1597.63,0.0223673,0.030155,0.0241815,0.0430369,0.014357,0.0224977,0.0250839,0.0163002,0.0533867,0.0288438,0.0411507,0.0784902,0.0390481,0.0318448,0.0485752,0.0237054,0.0248503,0.0476117,0.0382724,0.0726751,0.0344006,0.0446539,0.0355172,0.0261952,0.0240861,0.0494885,0.0380887,0.0237359,0.101069,0.0278783,0.0248576,0.0153325
1599.5,0.0227028,0.0313211,0.0248286,0.0442477,0.0151328,0.023276,0.0256793,0.0170483,0.0554138,0.0291914,0.0422147,0.0811936,0.0406562,0.0331164,0.0504378,0.0244442,0.0253183,0.0491148,0.0397781,0.0757027,0.0354952,0.0462249,0.0371769,0.0267789,0.0242636,0.0510304,0.0392706,0.0245084,0.10348,0.0293399,0.0252704,0.0159759
1601.36,0.022788,0.0321811,0.0250885,0.0453577,0.0151572,0.0237808,0.0259299,0.0173462,0.0573914,0.0295372,0.0431028,0.0839928,0.0418832,0.0342291,0.0517628,0.0252889,0.0252471,0.0503402,0.0411974,0.0779607,0.0364794,0.0476997,0.0386013,0.0271627,0.0247168,0.0531022,0.0402168,0.0252226,0.106229,0.0302771,0.0256768,0.0166576
1603.23,0.0241255,0.034332,0.0261852,0.0482953,0.0164244,0.025122,0.0271673,0.0186444,0.0604178,0.0307592,0.0452103,0.0876587,0.0436718,0.0362053,0.0538321,0.0271434,0.0261669,0.0524133,0.0432673,0.0807816,0.0380084,0.0495724,0.040318,0.0283045,0.0255327,0.0556673,0.041368,0.0264499,0.10897,0.0310186,0.0260878,0.0172765
1605.09,0.0239484,0.035038,0.0260116,0.0502522,0.0166856,0.0250845,0.0267716,0.0185496,0.0618638,0.0304301,0.0460533,0.0897791,0.0442335,0.0365134,0.0548509,0.0274383,0.0262702,0.0536584,0.0443124,0.0831148,0.0385094,0.050614,0.0411782,0.0284176,0.0256422,0.0573613,0.0426414,0.0271486,0.111283,0.0315396,0.0262531,0.0173846
1606.96,0.0256861,0.0375374,0.0284639,0.0546644,0.0193576,0.0273827,0.0286049,0.0208182,0.065108,0.0320682,0.0484257,0.0938883,0.0464666,0.0383086,0.057488,0.0290285,0.0277203,0.0564351,0.0468171,0.0866668,0.0405336,0.0529812,0.0431374,0.0298361,0.0267117,0.0600886,0.0448288,0.0282437,0.114112,0.0328526,0.027181,0.0181568
1608.82,0.0256038,0.0386281,0.0293422,0.0583333,0.0203031,0.0279579,0.0291658,0.0217666,0.0665832,0.032473,0.0491748,0.0971711,0.0470605,0.0392634,0.059013,0.0292961,0.0279103,0.0582906,0.0487038,0.0891497,0.0414743,0.0544453,0.0442067,0.0308401,0.026975,0.0627171,0.0460691,0.0288756,0.117213,0.0338385,0.0281186,0.0190017
1610.68,0.0269986,0.040398,0.0317353,0.0645,0.0224899,0.0299399,0.0310357,0.0240206,0.0685163,0.0344242,0.0511688,0.10145,0.0487425,0.0412084,0.0617358,0.0308831,0.0291635,0.0606095,0.0504711,0.0927432,0.0427248,0.0561876,0.0454632,0.0325941,0.0280712,0.0645979,0.0480287,0.029711,0.120159,0.0350417,0.0290987,0.0199204
1612.55,0.0257676,0.0378649,0.0316722,0.068848,0.022388,0.0289998,0.0302644,0.0237807,0.0667436,0.0339391,0.0509203,0.102812,0.0472616,0.040026,0.0620086,0.030166,0.0283099,0.0610677,0.0486998,0.0945841,0.0416593,0.0549922,0.0443769,0.0323062,0.0281296,0.0630979,0.0488546,0.0289481,0.121055,0.0347994,0.0290433,0.0200891
1614.41,0.0300696,0.0408796,0.0370885,0.0784942,0.0279286,0.0327582,0.0350367,0.0285294,0.06933,0.03822,0.0556204,0.109159,0.0501887,0.0437233,0.0668295,0.0339561,0.03182,0.0659805,0.0507792,0.100296,0.0445777,0.057377,0.0469345,0.0359467,0.0307026,0.0638047,0.0521839,0.0300868,0.123715,0.0363588,0.0312764,0.021573
1616.28,0.0317506,0.0439517,0.0402346,0.086575,0.0302528,0.0343405,0.0369758,0.0301204,0.0713137,0.0393007,0.0577159,0.114245,0.0519784,0.0454281,0.0697445,0.0349407,0.0323443,0.0683251,0.052395,0.104259,0.0459731,0.0590763,0.0476625,0.0367226,0.0306095,0.0655494,0.054139,0.0304603,0.127101,0.0371572,0.0324474,0.0217991
1618.14,0.0315083,0.0439806,0.0412169,0.0921218,0.0297441,0.0341517,0.0368591,0.0300733,0.0725503,0.0393119,0.0594085,0.119129,0.0532164,0.0462879,0.072359,0.0349213,0.0327496,0.0704397,0.0541787,0.108787,0.0475122,0.0610581,0.0488683,0.0379198,0.0319069,0.0685835,0.0568724,0.0322215,0.132147,0.0392146,0.0341201,0.0236144
