Wavenumber,sa22087.10,sa22089.10,sa22085.05,sa22082.00,sa22079.05,sa22076.05,sa22073.05,sa22070.05,sa22089.06,sa22087.06,sa22085.01,sa22081.01,sa22079.01,sa22076.01,sa22073.01,sa22070.01
904.146,0.108,0.0906002,0.122517,0.0824241,0.130629,0.0862921,0.144067,0.0614144,0.0860267,0.134843,0.118855,0.0949013,0.120347,0.106811,0.109342,0.0806501
906.01,0.107199,0.0865476,0.122642,0.0826268,0.131027,0.0867097,0.145275,0.0618987,0.0815982,0.133037,0.119392,0.0954281,0.122852,0.106695,0.107483,0.0813465
907.874,0.10627,0.0846181,0.124372,0.0835798,0.132916,0.0874961,0.147482,0.0629873,0.0798548,0.131636,0.121399,0.0961266,0.125537,0.106849,0.107353,0.0828066
909.738,0.105485,0.0846949,0.127405,0.0844812,0.1362,0.0886678,0.150323,0.0641881,0.0797712,0.13082,0.123654,0.0970948,0.128296,0.107375,0.108802,0.084458
911.603,0.10498,0.0859178,0.130924,0.0848875,0.139682,0.089549,0.154377,0.0653228,0.0806781,0.129872,0.125986,0.0978618,0.131492,0.107556,0.111164,0.0859206
913.467,0.105158,0.0876169,0.134395,0.0857434,0.143305,0.09043,0.159009,0.0666525,0.0826076,0.129682,0.129192,0.0987532,0.134924,0.107885,0.114409,0.0880121
915.331,0.105535,0.089854,0.138198,0.0875395,0.147529,0.0918634,0.164119,0.0682762,0.085093,0.129911,0.133645,0.100371,0.138814,0.109038,0.118504,0.0905881
917.195,0.105707,0.0917878,0.142491,0.0889759,0.152108,0.0930858,0.169609,0.0702066,0.086989,0.129735,0.138129,0.101976,0.142493,0.109759,0.122552,0.09284
919.06,0.105301,0.0931835,0.146769,0.0898098,0.15653,0.0939012,0.175149,0.0718175,0.0878066,0.129512,0.142436,0.103399,0.145855,0.109983,0.125931,0.0946805
920.924,0.104909,0.0950463,0.151074,0.091001,0.160612,0.0950534,0.180525,0.0726843,0.0892027,0.129739,0.147031,0.10456,0.148516,0.110811,0.129826,0.0966684
922.788,0.105487,0.0978467,0.155355,0.0922614,0.16514,0.0962992,0.185478,0.0733274,0.09233,0.130757,0.151342,0.10576,0.150775,0.111962,0.134749,0.0983603
924.652,0.106187,0.101582,0.158321,0.0929317,0.168842,0.0968576,0.188812,0.0733339,0.0963016,0.131244,0.154222,0.106615,0.151959,0.112907,0.139154,0.0984235
