Wavenumber,sa22089.14,sa22088.00,sa22087.14,sa22086.00,sa22085.09,sa22083.00,sa22080.00,sa22082.04,sa22079.09,sa22077.00,sa22076.09,sa22074.00,sa22073.09,sa22071.00,sa22070.09,sa22068.00
1666.61,0.170844,0.168755,0.0812284,0.0818455,0.0798123,0.114167,0.0350182,0.0430033,0.130685,0.12603,0.0574698,0.0671783,0.151358,0.108161,0.0468841,0.0278944
1668.48,0.179526,0.17765,0.0853702,0.0865728,0.0871512,0.12267,0.0372144,0.0453184,0.144121,0.13864,0.0603665,0.0720337,0.160198,0.116263,0.0489436,0.0299396
1670.34,0.203341,0.201381,0.0978586,0.0997641,0.103298,0.142437,0.0450039,0.0530553,0.170378,0.16402,0.0705122,0.083583,0.181907,0.134245,0.0563978,0.0354331
1672.2,0.21475,0.212888,0.100327,0.101664,0.110451,0.151161,0.0470616,0.0552457,0.18465,0.178112,0.0746189,0.0885707,0.192486,0.142155,0.0584373,0.0372599
1674.07,0.225036,0.222965,0.0995986,0.100523,0.115906,0.158981,0.0466305,0.0553331,0.196322,0.189249,0.0751042,0.0915444,0.202224,0.149872,0.0586123,0.0378808
1675.93,0.258135,0.255951,0.108484,0.109181,0.133264,0.182342,0.0531088,0.0612608,0.225542,0.217424,0.0833678,0.10249,0.232215,0.172685,0.0646475,0.0426542
1677.8,0.283986,0.282051,0.111781,0.112471,0.143578,0.196932,0.0571487,0.0642705,0.245065,0.235777,0.0889381,0.109145,0.254584,0.186617,0.0674906,0.0450246
1679.66,0.299429,0.297287,0.109379,0.110444,0.147433,0.204028,0.0573497,0.064361,0.252859,0.242649,0.0893129,0.111054,0.267622,0.193184,0.0673988,0.0451763
1681.52,0.326038,0.323587,0.111379,0.112648,0.158249,0.219823,0.0606674,0.0675293,0.26772,0.256663,0.0924965,0.116059,0.290862,0.207739,0.0703927,0.0479671
1683.39,0.365042,0.361879,0.122163,0.123817,0.181676,0.247484,0.0690523,0.0763811,0.291957,0.279659,0.0986399,0.124832,0.325371,0.233866,0.0774776,0.0552318
1685.25,0.428476,0.424638,0.143628,0.145245,0.226722,0.297887,0.0868462,0.0940848,0.332195,0.321059,0.113796,0.142483,0.385903,0.282087,0.0943197,0.0703657
1687.12,0.437805,0.433058,0.142731,0.143944,0.23737,0.306922,0.0898061,0.0970932,0.332303,0.32172,0.115895,0.14384,0.395665,0.289779,0.0970329,0.0718312
1688.98,0.424434,0.419587,0.137456,0.13864,0.238329,0.303163,0.0872465,0.0948363,0.321776,0.311056,0.111205,0.139433,0.387666,0.288286,0.0964239,0.0707249
1690.85,0.419456,0.415445,0.142719,0.143108,0.252603,0.311624,0.0913109,0.0993772,0.320276,0.310159,0.112218,0.140321,0.388647,0.298631,0.102266,0.0749133
1692.71,0.405918,0.402687,0.145041,0.145007,0.260604,0.313108,0.0923743,0.101077,0.313283,0.303303,0.111022,0.138464,0.381065,0.302299,0.105311,0.0767269
1694.57,0.395618,0.392626,0.151207,0.152064,0.271246,0.316893,0.0942661,0.103548,0.31103,0.300871,0.110072,0.137702,0.375731,0.30871,0.108662,0.0797455
1696.44,0.399031,0.396307,0.172791,0.174571,0.301472,0.337576,0.105938,0.114742,0.325594,0.316069,0.118449,0.145775,0.386132,0.333544,0.121677,0.0908447
1698.3,0.396513,0.394185,0.187561,0.188796,0.321379,0.350305,0.112726,0.121358,0.334241,0.324704,0.123357,0.149967,0.388233,0.349948,0.129033,0.096743
1700.17,0.396601,0.394646,0.20297,0.204408,0.340352,0.363201,0.116043,0.124409,0.348408,0.338306,0.125573,0.152478,0.392308,0.369416,0.134093,0.101577
1702.03,0.402391,0.400785,0.230919,0.232022,0.37221,0.385759,0.127207,0.134422,0.374041,0.364392,0.136474,0.163279,0.403687,0.402563,0.14761,0.112816
1703.9,0.390136,0.388595,0.234534,0.234546,0.370538,0.381371,0.124641,0.132142,0.372162,0.361996,0.134094,0.161605,0.394872,0.404187,0.14659,0.111979
1705.76,0.388446,0.387031,0.247988,0.247181,0.382054,0.389452,0.125876,0.132461,0.386704,0.376585,0.135679,0.163661,0.399146,0.421802,0.148675,0.115094
1707.62,0.395716,0.394334,0.269273,0.267322,0.403256,0.40633,0.132811,0.138061,0.411742,0.401813,0.14316,0.170357,0.411555,0.450273,0.15459,0.121649
1709.49,0.396004,0.394833,0.279634,0.276169,0.411127,0.411635,0.134371,0.138999,0.425225,0.41501,0.145085,0.172161,0.417031,0.467446,0.156143,0.124098
1711.35,0.397684,0.396287,0.28786,0.283207,0.418759,0.416054,0.136131,0.140084,0.439036,0.428516,0.146649,0.174334,0.423189,0.484093,0.157596,0.126545
1713.22,0.400557,0.398022,0.29425,0.288826,0.428129,0.421178,0.139329,0.142382,0.454182,0.443065,0.148658,0.177533,0.429087,0.501956,0.15939,0.129549
1715.08,0.402772,0.39968,0.29621,0.290115,0.44041,0.428653,0.143664,0.145387,0.474056,0.461945,0.151255,0.181686,0.435489,0.522663,0.161111,0.133426
1716.94,0.406547,0.404547,0.29475,0.288716,0.461476,0.444905,0.150863,0.151356,0.503806,0.490759,0.156888,0.188102,0.446677,0.552457,0.164116,0.138782
1718.81,0.405434,0.404544,0.286087,0.280849,0.480061,0.45859,0.158774,0.15772,0.527576,0.515221,0.163469,0.195039,0.454586,0.579562,0.168892,0.14324
1720.67,0.390308,0.389701,0.271093,0.264327,0.474379,0.451428,0.158151,0.157033,0.52443,0.512297,0.162822,0.195273,0.446378,0.580666,0.169284,0.142244
1722.54,0.375046,0.374053,0.253166,0.245249,0.459154,0.438417,0.151945,0.152094,0.509594,0.496837,0.156868,0.190859,0.435661,0.571214,0.165494,0.137581
1724.4,0.369185,0.367771,0.235493,0.228123,0.445563,0.428881,0.148543,0.149024,0.496473,0.483356,0.153511,0.188848,0.432118,0.563097,0.163019,0.13418
1726.27,0.364815,0.363963,0.218229,0.211397,0.423212,0.412778,0.143967,0.144722,0.476002,0.462858,0.149735,0.185595,0.4266,0.544086,0.158903,0.13043
1728.13,0.358643,0.357887,0.200346,0.193601,0.394473,0.390082,0.136707,0.137855,0.447964,0.435801,0.143622,0.179288,0.416322,0.516254,0.152706,0.125869
1729.99,0.353936,0.352212,0.182653,0.176482,0.362415,0.362246,0.130007,0.130849,0.417056,0.4053,0.138004,0.172429,0.402517,0.482524,0.146167,0.120909
1731.86,0.344298,0.343091,0.164077,0.158948,0.328351,0.330125,0.121816,0.122211,0.385408,0.372658,0.130546,0.164245,0.384566,0.445666,0.13833,0.114284
1733.72,0.330084,0.330223,0.145089,0.141397,0.295861,0.299199,0.113024,0.113207,0.353581,0.339929,0.12204,0.154017,0.362439,0.407404,0.129192,0.106465
1735.59,0.304475,0.304347,0.124559,0.120603,0.257646,0.2619,0.105376,0.104222,0.313876,0.301594,0.115092,0.142605,0.328752,0.361505,0.120627,0.0993958
